Name,Artist,Album,Track Number
"Beyond God & Elvis","From Monument To Masses","Beyond God & Elvis Remix Single","1"
"Beyond God & Elvis (Felix Cartal Remix)","From Monument To Masses","Beyond God & Elvis Remix Single","2"
"Beyond God & Elvis (Mixhell Remix)","From Monument To Masses","Beyond God & Elvis Remix Single","3"
"Beyond God & Elvis (Designer Drugs Remix)","From Monument To Masses","Beyond God & Elvis Remix Single","4"
"Not For Nothing","Dub Trio","Another Sound Is Dying","1"
"Jog On","Dub Trio","Another Sound Is Dying","2"
"Bay Vs. Leonard","Dub Trio","Another Sound Is Dying","3"
"Felicitacion","Dub Trio","Another Sound Is Dying","4"
"Mortar Dub","Dub Trio","Another Sound Is Dying","5"
"Regression Line","Dub Trio","Another Sound Is Dying","6"
"Who Wants To Die?","Dub Trio","Another Sound Is Dying","7"
"Respite","Dub Trio","Another Sound Is Dying","8"
"No Flag","Dub Trio","Another Sound Is Dying","9"
"The Midnight Runner","Dub Trio","Another Sound Is Dying","10"
"Safe And Sane","Dub Trio","Another Sound Is Dying","11"
"Agonist","Dub Trio","Another Sound Is Dying","12"
"Fuck What You Heard","Dub Trio","Another Sound Is Dying","13"
"Funishment","Dub Trio","Another Sound Is Dying","14"
"Checksum","From Monument To Masses","On Little Known Frequencies","1"
"(Millions Of) Individual Factories","From Monument To Masses","On Little Known Frequencies","2"
"Beyond God & Elvis","From Monument To Masses","On Little Known Frequencies","3"
"A Sixth Trumpet","From Monument To Masses","On Little Known Frequencies","4"
"An Ounce Of Prevention","From Monument To Masses","On Little Known Frequencies","5"
"The First Five","From Monument To Masses","On Little Known Frequencies","6"
"Let Them Know It's Christmastime","From Monument To Masses","On Little Known Frequencies","7"
"Hammer & Nails","From Monument To Masses","On Little Known Frequencies","8"
"In Memory Of Anthony","The Durutti Column","Love In The Time Of Recession","1"
"Rant","The Durutti Column","Love In The Time Of Recession","2"
"More Rainbows","The Durutti Column","Love In The Time Of Recession","3"
"I'm Alive","The Durutti Column","Love In The Time Of Recession","4"
"For Bruse","The Durutti Column","Love In The Time Of Recession","5"
"Painting","The Durutti Column","Love In The Time Of Recession","6"
"Wild Beast Tamed","The Durutti Column","Love In The Time Of Recession","7"
"Rainbow Maker","The Durutti Column","Love In The Time Of Recession","8"
"My Poppy","The Durutti Column","Love In The Time Of Recession","9"
"Loser","The Durutti Column","Love In The Time Of Recession","10"
"Lock-Down","The Durutti Column","Love In The Time Of Recession","11"
"Love Is Friend","The Durutti Column","Somebody Else's Party","1"
"Spanish Lament","The Durutti Column","Somebody Else's Party","2"
"Somewhere","The Durutti Column","Somebody Else's Party","3"
"Somebody's Party","The Durutti Column","Somebody Else's Party","4"
"Requiem for My Mother","The Durutti Column","Somebody Else's Party","5"
"Remember","The Durutti Column","Somebody Else's Party","6"
"Vigil","The Durutti Column","Somebody Else's Party","7"
"Blue","The Durutti Column","Somebody Else's Party","8"
"No More  Hurt","The Durutti Column","Somebody Else's Party","9"
"Spasmic Fairy","The Durutti Column","Somebody Else's Party","10"
"American View","The Durutti Column","Somebody Else's Party","11"
"Drinking Time","The Durutti Column","Somebody Else's Party","12"
"Woman","The Durutti Column","Somebody Else's Party","13"
"Goodbye","The Durutti Column","Somebody Else's Party","14"
"Intro","Bad Brains","I Against I","1"
"I Against I","Bad Brains","I Against I","2"
"House Of Suffering","Bad Brains","I Against I","3"
"Re-Ignition","Bad Brains","I Against I","4"
"Secret 77","Bad Brains","I Against I","5"
"Let Me Help","Bad Brains","I Against I","6"
"She's Calling You","Bad Brains","I Against I","7"
"Sacred Love","Bad Brains","I Against I","8"
"Hired Gun","Bad Brains","I Against I","9"
"Return To Heaven","Bad Brains","I Against I","10"
"From What Is Said To When It's Read","Bark Psychosis","Codename: Dustsucker","1"
"The Black Meat","Bark Psychosis","Codename: Dustsucker","2"
"Miss Abuse","Bark Psychosis","Codename: Dustsucker","3"
"400 Winters","Bark Psychosis","Codename: Dustsucker","4"
"Dr. Innocuous-Ketamoid","Bark Psychosis","Codename: Dustsucker","5"
"Burning The City","Bark Psychosis","Codename: Dustsucker","6"
"INQB8TR","Bark Psychosis","Codename: Dustsucker","7"
"Shapeshifting","Bark Psychosis","Codename: Dustsucker","8"
