Track,Artist,Album
Don't You Give Up On Me,Milo Greene,Milo Greene
Retrograde,James Blake,Retrograde
Inhaler,Foals,Holy Fire
Guuurl,Lapalux,Guuurl
You Don't Need A Weatherman,Darkstar,News From Nowhere
Number City,Coheed and Cambria,The Afterman: Descension
Iron,Woodkid,Iron
Hyper Real,Ital Tek,Hyper Real
A Girl And His Cat,Biffy Clyro,Opposites (Deluxe)
Sad Legs,Boats,A Fairway Full of Miners
Young,Air Review,Low Wishes
Heavy Feet,Local Natives,Hummingbird
Dear One,Jim James,Regions of Light and Sound of God
I Take Comfort In Your Ignorance (Tycho Remix),Ulrich Schnauss,I take Comfort In Your Ignorance
Lighton,Apparat,Krieg und Frieden (Music for Theatre)
Panoramic,Lusine,The Waiting Room
The Messenger,Johnny Marr,The Messenger
