Name,Artist,Album,Track Number
My Delirium,Ladyhawke,Ladyhawke (Deluxe Edition),17
Magic,Ladyhawke,Ladyhawke (Deluxe Edition),1
Manipulating Woman,Ladyhawke,Ladyhawke (Deluxe Edition),2
My Delirium,Ladyhawke,Ladyhawke (Deluxe Edition),3
Better Than Sunday,Ladyhawke,Ladyhawke (Deluxe Edition),4
Another Runaway,Ladyhawke,Ladyhawke (Deluxe Edition),5
Love Don't Live Here,Ladyhawke,Ladyhawke (Deluxe Edition),6
Back Of The Van,Ladyhawke,Ladyhawke (Deluxe Edition),7
Paris Is Burning,Ladyhawke,Ladyhawke (Deluxe Edition),8
Professional Suicide,Ladyhawke,Ladyhawke (Deluxe Edition),9
Dusk Till Dawn,Ladyhawke,Ladyhawke (Deluxe Edition),10
Crazy World,Ladyhawke,Ladyhawke (Deluxe Edition),11
Morning Dreams,Ladyhawke,Ladyhawke (Deluxe Edition),12
Oh My,Ladyhawke,Ladyhawke (Deluxe Edition),13
Danny & Jenny,Ladyhawke,Ladyhawke (Deluxe Edition),14
Paris Is Burning,Ladyhawke,Ladyhawke (Deluxe Edition),15
Dusk Till Dawn,Ladyhawke,Ladyhawke (Deluxe Edition),16
Permanence,Maybeshewill,Fair Youth,9
In Amber,Maybeshewill,Fair Youth,2
...,Maybeshewill,Fair Youth,1
Volga,Maybeshewill,Fair Youth,11
In the Blind,Maybeshewill,Fair Youth,10
Asiatic,Maybeshewill,Fair Youth,7
Waking Life,Maybeshewill,Fair Youth,8
Sanctuary,Maybeshewill,Fair Youth,6
All Things Transient,Maybeshewill,Fair Youth,5
Fair Youth,Maybeshewill,Fair Youth,4
You And Me And Everything In Between,Maybeshewill,Fair Youth,3
Happy Song,Bring Me The Horizon,That's The Spirit,2
Throne,Bring Me The Horizon,That's The Spirit,3
Follow You,Bring Me The Horizon,That's The Spirit,5
What You Need,Bring Me The Horizon,That's The Spirit,6
Avalanche,Bring Me The Horizon,That's The Spirit,7
Run,Bring Me The Horizon,That's The Spirit,8
Drown (New),Bring Me The Horizon,That's The Spirit,9
Blasphemy,Bring Me The Horizon,That's The Spirit,10
Doomed,Bring Me The Horizon,That's The Spirit,1
True Friends,Bring Me The Horizon,That's The Spirit,4
Oh No,Bring Me The Horizon,That's The Spirit,11
Scale and Ratio,Ryan Teague,Block Boundaries,5
Diversion 1,Ryan Teague,Block Boundaries,4
Last Known Position,Ryan Teague,Block Boundaries,3
Site and Situation,Ryan Teague,Block Boundaries,1
Block Boundaries,Ryan Teague,Block Boundaries,2
End Of The Line,Ryan Teague,Block Boundaries,10
Animated Landscape,Ryan Teague,Block Boundaries,9
Remote Outliers,Ryan Teague,Block Boundaries,8
Liminal Space,Ryan Teague,Block Boundaries,6
Diversion 2,Ryan Teague,Block Boundaries,7
Agneya,God is an Astronaut,Helios / Erebus,1
Vetus Memoria,God is an Astronaut,Helios / Erebus,3
Finem Solis,God is an Astronaut,Helios / Erebus,4
Centralia,God is an Astronaut,Helios / Erebus,7
Obscura Somnia,God is an Astronaut,Helios / Erebus,6
Helios Erebus,God is an Astronaut,Helios / Erebus,5
Pig Powder,God is an Astronaut,Helios / Erebus,2
Sea of Trees,God is an Astronaut,Helios / Erebus,8
On Your Own Ten Toes,Vessels,Dilate,8
Beautiful You Me,Vessels,Dilate,9
Attica,Vessels,Dilate,5
Vertical,Vessels,Dilate,1
Elliptic,Vessels,Dilate,2
As You Are,Vessels,Dilate,4
Echo In,Vessels,Dilate,3
Glass Lake,Vessels,Dilate,7
On Monos,Vessels,Dilate,6
