Name,Artist,Album,Track Number
In The Land Of Grey & Pink,Caravan,In The Land Of Grey And Pink,4
Roundabout (Remastered Version),Yes,Fragile (Deluxe Version),1
Marathon,Rush,Power Windows,4
Middletown Dreams,Rush,Power Windows,6
Violet Rays,The Smashing Pumpkins,Oceania,4
La belle et le bad boy,MC Solaar,La Belle et le Bad Boy,1
Central Reservation (The Then Again Version),Beth Orton,Central Reservation,12
Dear God (2001 - Remaster),XTC,Skylarking,15
Fly Away,F.I.R.,F.I.R.,2
Middletown Dreams,Rush,Power Windows,6
This Is Not America,Pat Metheny Group,Falcon & The Snowman - Soundtrack,5
No More  Hurt,The Durutti Column,Somebody Else's Party,9
Konstantine,Something Corporate,Played In Space: The Best of Something Corporate,15
Ship of Fools (Remastered 2009),Erasure,The Innocents (21st Anniversary Edition),2
Every Day (2005 Remaster),Genesis,R-Kive,15
