Name,Artist,Album,Track Number
Take Me,Sisyphus,Sisyphus,2
Disquiet (Floex Remix),Hidden Orchestra,"Archipelago Remixes, Pt. 2",3
for the transient projectionist,Hiss Tracts,Shortwave Nights,7
Carmine (Synkro Remix),Cloud Boat,Carmine,2
See,Tycho,See,1
Something Like Avalanches,sleepmakeswaves,Something Like Avalanches,1
Son O'blood,I Know Leopard,Illumina,3
The Dark (Trinity),The Roots,...and then you shoot your cousin,9
Nolan,Ben Frost,A U R O R A,2
Tell Me,Millionyoung,Tell Me - Single,1
