Name,Artist,Album,Track Number
Welcome to New York,Ryan Adams & The Cardinals,1989,1
"New York, New York",Ryan Adams & The Cardinals,Gold,1
New York,Richard Ashcroft,Alone With Everybody,4
"New York, I Love You But You're Bringing Me Down",LCD Soundsystem,Sound Of Silver,9
New York State of Mind,Billy Joel,Turnstiles,4
New York City,Lenny Kravitz,Strut,4
New York Morning,Elbow,The Take Off And Landing Of Everything (The Take Off and Landing of Everything),4
New York Is Killing Me,Gil Scott-Heron,I’m New Here,10
New York City,The Cult,Sonic Temple,7
New York,Cat Power,Jukebox,1
"New York, New York",Frank Sinatra,New York New York,1
New York,Ja Rule,R.U.L.E. (Explicit CD),5
New York,Stanton Warriors,The Warriors,5
New York,Sex Pistols,"Never Mind The Bollocks, Here’s The Sex Pistols",11
New York,Paloma Faith feat. Ghostface Killah,New York,1
New York (BBC Radio 2 Live Version),Paloma Faith feat. Ghostface Killah,New York,2
Do You Want The Truth Or Something Beautiful (Widower Remix),Paloma Faith feat. Ghostface Killah,New York,3
New York,Kool Keith,New York,1
New York State Of Mind,Leon Russell,Life Journey,10
