Name,Artist,Album,Track Number
Provider,Midlake,Antiphon,2
1968,Submotion Orchestra,1968,5
Elliptic,Vessels,Elliptic,5
Love Is to Die,Warpaint,Love Is to Die,1
No More,The Qemists,No More,1
Fire!,Steve Mason,Fire!,1
Begin By Letting Go,Etherwood,Etherwood,1
Exodus,M.I.A.,Matangi,7
The Long Journey Home,Catching Flies,The Long Journey Home,3
The Tourist,Message To Bears,Maps,3
Hymn For The Greatest Generation,Caspian,Hymn For The Greatest Generation,1
Of The Night (Licencing / Compilation Version),Bastille,Of The Night,1
This Song Is Not About a Girl,"Flume, Chet Faker",Lockjaw,3
Colour My Heart,Charlotte OC,Colour My Heart,1
Bones (Thom alt-J Remix),Josh Record,Bones,3
Skipping,Milosh,Jetlag,3
Control,Matrix & Futurebound,Control,1
