Name,Artist,Album,Track Number
Gateaux Blaster,Futurecop!,The Movie,13
Satellite Snyper,Pantha Du Prince,Black Noise,6
Acolyte,Delphic,Acolyte,5
A Walk (Kolombo Remix),Tycho,Dive (Deluxe Version),14
Closer,deadmau5,> album title goes here <,9
Letters to the Metro (Zombi Remix),Mogwai,A Wrenched Virile Lore,5
Paradise Grove,DMX Krew,Shape Shifting Shaman,1
Who Is There (Original Mix),Infected Mushroom,Friends On Mushrooms (Deluxe Edition),12
5.30,Benge,Electro-Orgoustic Music,3
Your Love Will Set You Free (c2's Set U Free RMX),Caribou,Our Love (Expanded Edition),12
