Name,Artist,Album,Track Number
A Different Feeling (Ernest St. Laurent Remix),The Avalanches,Electricity,3
Drop The Pressure (Explicit),Mylo,Destroy Rock & Roll,4
Midnight City [Eric Prydz Private Remix] (Eric Prydz Private Remix),M83,Midnight City [Eric Prydz Private Remix] (Eric Prydz Private Remix),1
Poor Leno,Röyksopp,Melody AM,5
Ares (Villains Remix),Bloc Party,Intimacy - Remixed,1
Buffalo Stance (Kevin Saunderson's Techno Stance Remix I),Neneh Cherry,Electrospective: The Remix Album,7
What Else Is There? (Thin White Duke Mix),Röyksopp,What Else Is There?,3
Channel 42,deadmau5,> album title goes here <,2
Tupac Robot Club Rock,Filthy Dukes,Tupac Robot Club Rock,1
At Home (Pony Pony Run Run Remix),Crystal Fighters,Star of Love (Remixes),8
Paris is Burning (Dim's back to '84 remix edit),Ladyhawke,Paris is Burning (Dim's back to '84 remix edit),1
Levitate,Hadouken!,Levitate,1
Break 'em,Reso,Pulse Code,4
Pizza Guy,Touch Sensitive,Pizza Guy / Show Me,1
