Name,Artist,Album,Track Number
Before I Move Off,Mount Kimbie,Crooks & Lovers,3
Police & Thieves,Junior Murvin,Police & Thieves,2
Roscoe (Beyond The Wizard's Sleeve Remix),Groove Armada,Late Night Tales: Groove Armada (Remastered Edition),7
This Case Is Closed (Johan Agebjörn Remix),Friday Bridge,Do You Know How To Spend It?,1
The Harbour Wall,Rough Fields,Edge of the Firelight,4
Yet Again,Grizzly Bear,Yet Again,1
Midnight City [Eric Prydz Private Remix] (Eric Prydz Private Remix),M83,Midnight City [Eric Prydz Private Remix] (Eric Prydz Private Remix),1
Be My Girl,Birds & Batteries,Stray Light,4
From What Is Said To When It's Read,Bark Psychosis,Codename: Dustsucker,1
Sleepwalking,Photek,Aviator EP,3
Drowned City,Dark Sky,Frames Ep,3
Lament 77 (We Will Follow),Monsters Build Mean Robots,WeShouldHaveDestroyedOurGeneralsNotTheirEnemies,2
Here Comes A Regular,The Replacements,Tim [Expanded Edition],11
Thirteen,Big Star,#1 Record (Remastered),4
Burial Ground,D.I.D.,All Our Favourite Stories (Deluxe Version),14
Seven Hunters,Hidden Orchestra,Archipelago,7
"Tonight, Tonight",The Smashing Pumpkins,Mellon Collie and the Infinite Sadness (2012 - Remaster),2
Late Night,Foals,Holy Fire,6
Fractured,Lights & Motion,Reanimation,8
Les Nuits,Nightmares on Wax,Les Nuits,1
Jóga,Georgi Kay,In My Mind EP,3
P.I.G.,Contemporary Noise Quintet,Pig Inside the Gentleman,9
Endeavors (Original Mix),Mitis,Glitch Hop Vs Drum & Bass,8
I Need My Girl,The National,I Need My Girl,1
All I Need (Edit),Air,All I Need,1
"Amber, Ember, Glow",Saxon Shore,Four Months of Darkness,2
Phosphorescence (Emperor Yes Remix),Tall Ships,Phosphorescence,2
Ashes & Embers,The Casket Girls,True Love Kills the Fairy Tale,4
