Track,Artist,Album
There Will Come A Time,Noah and the Whale,Heart Of Nowhere
Meltdown,Ghostpoet,Some Say I So I Say Light
Karmageddon,Dot Rotten,Voices In My Head
Motorway,Little Boots,Nocturnes
Wherever You Are,Nosound,Afterthoughts
Closer to the Moon,The James Taylor Quartet,Closer to the Moon
Sparkle,Carl Craig,The Album Formerly Known As...
A.M.A.,Maps,A.M.A.
Symptoms,Atlas Genius,Symptoms
Contact,Daft Punk,Random Access Memories
Reach For The Dead,Boards Of Canada,Reach For The Dead
Fireproof,The National,Trouble Will Find Me
I Need My Girl,The National,Trouble Will Find Me
Slow,Mount Kimbie,Cold Spring Fault Less Youth
Never Stop Running,"Trentemøller, Jonny Pierce",Never Stop Running
Rà-àkõ-st (Unknown Mortal Orchestra cover version),Lindstrøm,Rà-àkõ-st (Unknown Mortal Orchestra cover version)
Bloodflows,SOHN,Bloodflows
Convergent,Scrimshire,Bight
Lost Enemies,Eisley,Currents
